,code,official_name,name
167,NOR,Norway,Norway
168,NPL,Nepal,Nepal
169,NRU,Nauru,Nauru
170,NZL,New Zealand,New Zealand
171,OMN,Oman,Oman
172,PAK,Pakistan,Pakistan
173,PAN,Panama,Panama
174,PCN,Pitcairn,Pitcairn
175,PER,Peru,Peru
176,PHL,Philippines,Philippines
177,PLW,Palau,Palau
178,PNG,Papua New Guinea,Papua New Guinea
179,POL,Poland,Poland
180,PRI,Puerto Rico,Puerto Rico
181,PRK,"Korea, Democratic People's Republic of","Korea, Democratic People's Republic of"
182,PRT,Portugal,Portugal
183,PRY,Paraguay,Paraguay
184,PSE,"Palestine, State of","Palestine, State of"
185,PYF,French Polynesia,French Polynesia
186,QAT,Qatar,Qatar
187,REU,Réunion,Réunion
188,ROU,Romania,Romania
189,RUS,Russian Federation,Russian Federation
190,RWA,Rwanda,Rwanda
191,SAU,Saudi Arabia,Saudi Arabia
192,SDN,Sudan,Sudan
193,SEN,Senegal,Senegal
194,SGP,Singapore,Singapore
195,SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
196,SHN,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
197,SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen
198,SLB,Solomon Islands,Solomon Islands
199,SLE,Sierra Leone,Sierra Leone
200,SLV,El Salvador,El Salvador
201,SMR,San Marino,San Marino
202,SOM,Somalia,Somalia
203,SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon
204,SRB,Serbia,Serbia
205,SSD,South Sudan,South Sudan
206,STP,Sao Tome and Principe,Sao Tome and Principe
207,SUR,Suriname,Suriname
208,SVK,Slovakia,Slovakia
209,SVN,Slovenia,Slovenia
210,SWE,Sweden,Sweden
211,SWZ,Eswatini,Eswatini
212,SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
213,SYC,Seychelles,Seychelles
214,SYR,Syrian Arab Republic,Syrian Arab Republic
215,TCA,Turks and Caicos Islands,Turks and Caicos Islands
216,TCD,Chad,Chad
217,TGO,Togo,Togo
218,THA,Thailand,Thailand
219,TJK,Tajikistan,Tajikistan
220,TKL,Tokelau,Tokelau
221,TKM,Turkmenistan,Turkmenistan
222,TLS,Timor-Leste,Timor-Leste
223,TON,Tonga,Tonga
224,TTO,Trinidad and Tobago,Trinidad and Tobago
225,TUN,Tunisia,Tunisia
226,TUR,Turkey,Turkey
227,TUV,Tuvalu,Tuvalu
228,TWN,"Taiwan, Province of China","Taiwan, Province of China"
229,TZA,"Tanzania, United Republic of","Tanzania, United Republic of"
230,UGA,Uganda,Uganda
231,UKR,Ukraine,Ukraine
232,UMI,United States Minor Outlying Islands,United States Minor Outlying Islands
233,URY,Uruguay,Uruguay
234,USA,United States,United States
235,UZB,Uzbekistan,Uzbekistan
236,VAT,Holy See (Vatican City State),Holy See (Vatican City State)
237,VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
238,VEN,"Venezuela, Bolivarian Republic of","Venezuela, Bolivarian Republic of"
239,VGB,"Virgin Islands, British","Virgin Islands, British"
240,VIR,"Virgin Islands, U.S.","Virgin Islands, U.S."
241,VNM,Viet Nam,Viet Nam
242,VUT,Vanuatu,Vanuatu
243,WLF,Wallis and Futuna,Wallis and Futuna
244,WSM,Samoa,Samoa
245,YEM,Yemen,Yemen
246,ZAF,South Africa,South Africa
247,ZMB,Zambia,Zambia
248,ZWE,Zimbabwe,Zimbabwe
